﻿文件夹,文件名,控件名,控件文本,Key,控件路径,md5,文件路径
historyhero,HistoryHeroBookItemCell.csd,_textBookName,左右互搏,,/_resourceNode/_textBookName,9e50979544711938fa20aea14a3d7f52,historyhero/HistoryHeroBookItemCell.csd
historyhero,HistoryHeroTrainBreakLayer.csd,_static_historyhero_break_des,点击添加道具可进行突破,editor.historyhero.1,/_resource/_static_historyhero_break_des,cdcfdc35f390191218115025f9af9eba,historyhero/HistoryHeroTrainBreakLayer.csd
historyhero,HistoryHeroDetaillLayer.csd,_textName,神器觉醒,,/_textName,428c34036561955799c3baeaa93fe10f,historyhero/HistoryHeroDetaillLayer.csd
historyhero,HistoryHeroDetaillLayer.csd,_textRightLantern,"强
化",,/_nodeLantern2/_textRightLantern,428c34036561955799c3baeaa93fe10f,historyhero/HistoryHeroDetaillLayer.csd
historyhero,HistoryHeroBookView.csd,_static_historyhero_book_des,属性加成对所有上阵武将有效,editor.pet.9,/_panelDesign/_static_historyhero_book_des,f179b4f600a57a424b3815bc671f68da,historyhero/HistoryHeroBookView.csd
historyhero,PopupHistoryHeroDetail.csd,_textHeroName,名字,editor.horse.4,/Panel_root/_textHeroName,3e8b162269574b1c47e436bb60188df6,historyhero/PopupHistoryHeroDetail.csd
historyhero,PopupHistoryHeroDetail.csd,_hasText,已拥有,editor.horse.3,/Panel_root/_hasText,3e8b162269574b1c47e436bb60188df6,historyhero/PopupHistoryHeroDetail.csd
historyhero,PopupHistoryHeroDetail.csd,_textTitle,详情,editor.silkbag.3,/Panel_root/Image_bg_all/Image_1/_textTitle,3e8b162269574b1c47e436bb60188df6,historyhero/PopupHistoryHeroDetail.csd
historyhero,HistoryHeroView.csd,_textbook,"图
鉴",editor.historyhero.2,/_panelBottom/_nodeLanternLeft/_textbook,c4865ac23245471b64a38ade0210d0e2,historyhero/HistoryHeroView.csd
historyhero,HistoryHeroPosItemCell.csd,_textPos,一号位,editor.seasonCompetitive.2,/_resourceNode/_textPos,20a3277817e56eb9338068a49b83d23b,historyhero/HistoryHeroPosItemCell.csd
historyhero,HistoryHeroPosItemCell.csd,Text_84,85级,,/_resourceNode/_nodeLock/Text_84,20a3277817e56eb9338068a49b83d23b,historyhero/HistoryHeroPosItemCell.csd
historyhero,HistoryHeroTrainAwakeLayer.csd,_static_historyhero_awake_des,点击添加神器可觉醒名将,editor.historyhero.3,/_resource/_static_historyhero_awake_des,48802b85c4582be9084629e31b452eb0,historyhero/HistoryHeroTrainAwakeLayer.csd
historyhero,HistoricalItemCell.csd,_textDes1,"激活7条羁绊
激活合击大招",,/_resourceNode/_item1/_textDes1,8900c26a6614cd73297988b55b6fb117,historyhero/HistoricalItemCell.csd
